#Selection name: Selection 1
#Area (µm^2): 741180.83
Cell ID,Cluster,Transcripts,Area (µm^2)
gndkfbdp-1,Cluster 16,22,52.77
gnalbibm-1,Cluster 1,19,78.44
gnccmlap-1,Cluster 1,34,288.97
gnbemhbi-1,Cluster 18,41,143.74
gncamkac-1,Cluster 3,13,75.96
gncbffbn-1,Cluster 7,18,87.90
gncbfhpi-1,Cluster 7,6,114.65
gndhijlo-1,Cluster 22,15,68.63
gndifpca-1,Cluster 15,22,120.70
gncclelo-1,Cluster 18,16,93.44
gndieoab-1,Cluster 5,45,144.88
gndmaaon-1,Cluster 1,4,68.03
gnemnofm-1,Cluster 4,3,39.44
gneelakj-1,Cluster 4,7,54.01
gndmicbh-1,Cluster 2,15,94.70
gneagikh-1,Cluster 2,8,88.25
gneeionb-1,Cluster 3,23,123.63
gndniaac-1,Cluster 19,10,111.54
gnebhffe-1,Cluster 19,17,149.47
gneaiabb-1,Cluster 13,22,141.58
gnehnlie-1,Cluster 3,28,143.85
gndkfnee-1,Cluster 15,10,66.82
gneeafee-1,Cluster 11,19,89.25
gnecoplo-1,Cluster 3,10,58.13
gnemlagd-1,Cluster 4,4,38.18
gnefddac-1,Cluster 6,12,60.64
gnedbifh-1,Cluster 3,29,120.16
gndmobdj-1,Cluster 23,7,86.34
gnefaolo-1,Cluster 4,5,57.02
gnelneom-1,Cluster 4,4,43.34
gnejdgeb-1,Cluster 4,4,24.11
gncdlmlk-1,Cluster 2,3,28.33
gncdjgdg-1,Cluster 6,15,98.19
gnaonbhc-1,Cluster 13,7,34.88
gnaoeabf-1,Cluster 13,14,87.55
gndlbppe-1,Cluster 2,17,76.04
gncdffoc-1,Cluster 5,30,162.33
gndnfmff-1,Cluster 9,8,55.21
gndkfhgj-1,Cluster 7,26,105.45
gncbnfbm-1,Cluster 3,24,123.64
gncalgoc-1,Cluster 7,25,88.00
gnanhmnm-1,Cluster 18,9,52.47
gncdemjb-1,Cluster 11,11,122.84
gnancmnj-1,Cluster 11,7,79.70
gnamjfci-1,Cluster 18,29,120.27
gncfnjme-1,Cluster 4,9,23.40
gndodjoj-1,Cluster 4,11,79.04
gndlbooh-1,Cluster 15,17,81.02
gndlemmb-1,Cluster 2,18,76.08
golhnend-1,Cluster 19,6,98.11
gokncckp-1,Cluster 13,45,225.43
golooigp-1,Cluster 1,13,46.79
golgdpbe-1,Cluster 18,15,78.21
golhcchh-1,Cluster 1,49,269.98
gnbepioj-1,Cluster 19,13,65.06
goloaeel-1,Cluster 1,17,68.66
gnbfllbm-1,Cluster 1,8,59.82
gnbjhjfk-1,Cluster 1,29,210.71
gnbhibok-1,Cluster 23,9,92.12
golglpep-1,Cluster 18,27,127.77
gnbfkmon-1,Cluster 1,50,264.43
golnmoak-1,Cluster 18,12,79.75
golpacfb-1,Cluster 3,18,80.59
gnbedhfl-1,Cluster 19,10,87.70
gomaakkf-1,Cluster 18,43,121.73
golgmfpk-1,Cluster 11,22,101.86
gnbefmbp-1,Cluster 1,33,175.67
golonddm-1,Cluster 1,31,131.54
golpignj-1,Cluster 13,37,191.58
gnbfmmcj-1,Cluster 1,4,138.55
eaddkanc-1,Cluster 2,1,24.52
goknghfk-1,Cluster 3,10,93.89
eacjiicc-1,Cluster 21,1,69.93
eacofkae-1,Cluster 14,7,154.14
eaddgpho-1,Cluster 16,22,74.13
eacoafmk-1,Cluster 2,27,107.83
eacnedai-1,Cluster 14,16,117.04
eacmbkpk-1,Cluster 21,2,109.58
eadcloep-1,Cluster 18,21,126.99
eadcmifo-1,Cluster 2,7,83.51
goklmlpp-1,Cluster 7,12,119.89
eacmkohi-1,Cluster 7,6,94.84
eacggbna-1,Cluster 21,0,92.18
eadciaen-1,Cluster 9,12,104.87
eacfpiji-1,Cluster 14,7,108.23
eacmdoaj-1,Cluster 4,0,99.04
eacofnje-1,Cluster 14,12,132.32
dpicakec-1,Cluster 14,4,79.97
gollmhcp-1,Cluster 2,12,140.75
gnbmnken-1,Cluster 13,23,205.92
goljoonk-1,Cluster 1,12,68.48
gombeoip-1,Cluster 13,54,295.24
gombopgm-1,Cluster 3,31,107.72
goligjmc-1,Cluster 18,14,36.59
gnbmdebo-1,Cluster 1,14,99.77
goliddlh-1,Cluster 1,10,93.30
gnbdoknh-1,Cluster 1,46,323.06
gnblijek-1,Cluster 1,10,93.74
goliimhm-1,Cluster 18,27,149.21
golkobna-1,Cluster 13,20,117.99
gnbkmfei-1,Cluster 13,63,297.57
gnbnaamc-1,Cluster 1,7,60.54
gnbmingo-1,Cluster 1,5,86.54
gomabood-1,Cluster 3,16,116.21
gnankodp-1,Cluster 13,14,94.97
golhejib-1,Cluster 13,38,257.61
gombgnbf-1,Cluster 1,4,76.62
gnbmmlof-1,Cluster 13,13,135.18
gokehbcf-1,Cluster 2,10,159.26
eacfigjf-1,Cluster 2,9,111.64
gokngpnn-1,Cluster 16,47,124.63
gokngjkf-1,Cluster 7,35,209.41
goklpdlg-1,Cluster 4,3,77.13
gombpael-1,Cluster 7,32,140.10
gokldppl-1,Cluster 7,45,229.08
eacgkcbn-1,Cluster 14,11,123.18
gombnnkc-1,Cluster 11,17,51.57
golphgii-1,Cluster 19,7,89.74
gokhfomc-1,Cluster 2,4,86.05
gokkimmi-1,Cluster 9,18,114.31
gokekoho-1,Cluster 9,9,112.13
gokpmgdh-1,Cluster 14,8,142.30
gokhbmog-1,Cluster 2,3,73.21
gokohppc-1,Cluster 2,9,122.67
gokmncec-1,Cluster 7,19,137.14
gokfdflk-1,Cluster 2,4,77.55
gnijhajk-1,Cluster 9,7,111.29
gniemhmj-1,Cluster 4,21,191.40
glpojkho-1,Cluster 4,28,129.41
dmfaopnk-1,Cluster 1,81,301.56
dmepmiga-1,Cluster 1,27,154.34
dmfbcphb-1,Cluster 1,6,41.59
dmffbcfo-1,Cluster 4,11,71.87
glplmjih-1,Cluster 20,5,26.46
dmfekhcc-1,Cluster 4,4,13.45
glpjjilb-1,Cluster 4,11,98.66
dmfbamil-1,Cluster 1,23,195.18
dmffhnoi-1,Cluster 20,7,46.80
dmfbaohj-1,Cluster 1,8,40.22
dmfeljao-1,Cluster 20,12,101.62
glpjkhga-1,Cluster 4,27,195.48
glpldchm-1,Cluster 4,1,8.90
glplkghp-1,Cluster 19,27,101.55
glpjphko-1,Cluster 1,14,99.66
glpmcfno-1,Cluster 1,10,55.84
dmfcecel-1,Cluster 1,42,220.26
glpljcof-1,Cluster 20,3,28.56
dmepohgh-1,Cluster 20,6,32.42
glpmablj-1,Cluster 1,26,148.51
glpkmfbh-1,Cluster 20,7,35.45
gmafiiak-1,Cluster 1,19,82.02
gnhlklcf-1,Cluster 4,7,80.17
gnhlgbco-1,Cluster 4,10,64.00
gnhmoahe-1,Cluster 4,5,27.31
gnhlglge-1,Cluster 4,3,77.99
glppfbcf-1,Cluster 13,26,64.09
glppefaa-1,Cluster 13,16,55.35
glppmgfm-1,Cluster 13,36,179.71
gmagmlap-1,Cluster 1,19,162.02
gmadgifa-1,Cluster 1,78,375.48
gmajkdfg-1,Cluster 13,57,288.03
dmhldije-1,Cluster 13,21,84.20
dmhkopfp-1,Cluster 1,19,89.37
gmafoimc-1,Cluster 1,20,163.23
gmaeeccc-1,Cluster 13,35,116.00
dmfahamk-1,Cluster 1,4,17.98
glppdmlp-1,Cluster 13,22,68.45
gmahccmg-1,Cluster 2,8,84.29
gmafiimg-1,Cluster 1,32,109.63
gmaidopf-1,Cluster 1,23,100.62
gmcfnbmj-1,Cluster 1,12,78.01
gmaifbin-1,Cluster 1,23,100.86
gmcehafg-1,Cluster 1,3,33.83
gmcdpggm-1,Cluster 1,13,70.70
gmccjgln-1,Cluster 19,22,109.51
dmfciblm-1,Cluster 1,12,86.75
dmfbihfd-1,Cluster 1,15,52.78
gmccbmni-1,Cluster 1,41,162.51
gmcaphha-1,Cluster 1,19,83.44
gmccopfl-1,Cluster 1,30,158.72
gmcgilgi-1,Cluster 11,9,90.86
gmcgdldp-1,Cluster 1,39,192.00
gmchmbgb-1,Cluster 1,39,147.08
glpjahhf-1,Cluster 1,41,186.90
gmajdgjk-1,Cluster 4,15,100.94
gmcgfice-1,Cluster 1,7,86.14
gmcjggad-1,Cluster 18,17,112.35
gmchcmld-1,Cluster 1,36,229.62
gmcfeeab-1,Cluster 4,4,21.26
gnjipldk-1,Cluster 4,5,62.14
gmakodnh-1,Cluster 1,36,152.29
gmalfomd-1,Cluster 13,41,204.63
gmakflio-1,Cluster 1,21,147.18
dmhligdp-1,Cluster 13,41,136.92
glpoiejm-1,Cluster 4,21,168.30
gmajpeki-1,Cluster 1,18,85.69
gnjihgpc-1,Cluster 4,3,56.86
gmajjdnf-1,Cluster 1,53,193.73
gmafcamc-1,Cluster 1,33,108.55
gmaoaaio-1,Cluster 13,50,221.26
gmajnngp-1,Cluster 1,60,334.93
gmanjepd-1,Cluster 19,16,92.96
gmakdgcl-1,Cluster 13,39,206.21
gmajfmdl-1,Cluster 1,31,148.77
gmajnknf-1,Cluster 1,16,74.50
gmakalmd-1,Cluster 1,27,99.29
gmafifmd-1,Cluster 1,8,32.70
gnjgjfna-1,Cluster 2,20,84.37
gnfdfdlj-1,Cluster 15,44,115.95
gnhnblgl-1,Cluster 4,6,40.93
gngnhnpb-1,Cluster 4,12,70.72
gnhleopa-1,Cluster 4,7,62.32
gnhkkhen-1,Cluster 4,5,33.91
gnhbifap-1,Cluster 4,13,76.83
gnhbgefn-1,Cluster 4,7,59.58
gnfdbeap-1,Cluster 4,5,43.86
gnhglngb-1,Cluster 4,9,51.29
gngmcgdl-1,Cluster 4,30,93.12
gnhffinb-1,Cluster 4,10,141.66
gnhnlbal-1,Cluster 4,9,52.65
gngndmld-1,Cluster 4,10,66.05
gnhbanok-1,Cluster 7,11,100.92
gngndlla-1,Cluster 4,12,76.34
gngnnbkm-1,Cluster 4,13,73.77
gnhnalka-1,Cluster 4,9,55.73
gnhnmkop-1,Cluster 4,8,46.73
gnhnlcbo-1,Cluster 4,5,35.29
gnhcanoc-1,Cluster 4,15,84.90
gndpfech-1,Cluster 16,37,85.93
gnfdfagn-1,Cluster 4,8,87.74
gnfgjocn-1,Cluster 9,3,34.64
gndonhpp-1,Cluster 2,9,53.61
gnffajli-1,Cluster 9,14,57.39
gndmfleh-1,Cluster 3,11,64.90
gnfgbcmj-1,Cluster 7,15,88.98
gnffoeel-1,Cluster 11,13,67.04
gnkedgca-1,Cluster 3,11,82.33
gnecdkih-1,Cluster 3,29,104.24
gnfhbakk-1,Cluster 16,41,132.74
gnfepjan-1,Cluster 16,26,61.40
gnfgeaii-1,Cluster 16,15,52.79
gnfcklhh-1,Cluster 16,13,47.20
gndokmln-1,Cluster 7,27,121.35
gnjgloob-1,Cluster 5,33,135.57
gnjgljgc-1,Cluster 16,64,101.19
gnjgjmdm-1,Cluster 16,26,41.91
gndpdafh-1,Cluster 7,18,38.09
gnjljfbm-1,Cluster 4,28,120.17
glpnpmdc-1,Cluster 4,15,87.78
gnjmcbgc-1,Cluster 4,7,36.01
gnjlopeo-1,Cluster 4,16,130.87
gnjjellh-1,Cluster 4,7,46.80
gnjlfjnp-1,Cluster 4,10,44.73
gnjiedop-1,Cluster 4,14,122.91
glpojmip-1,Cluster 4,24,98.35
gnjmfoga-1,Cluster 4,20,86.18
gnjohbck-1,Cluster 4,10,56.99
gnjmaadg-1,Cluster 4,1,13.96
gnidjmdh-1,Cluster 15,24,61.72
gnidoffe-1,Cluster 4,8,65.14
gnigmfei-1,Cluster 7,13,83.81
gnieeljm-1,Cluster 4,7,45.59
glpmigmb-1,Cluster 4,14,54.68
gnifloho-1,Cluster 4,5,15.84
gnifnila-1,Cluster 4,12,46.32
gnidphma-1,Cluster 4,10,53.41
gnigcdml-1,Cluster 4,5,20.35
gnjebjid-1,Cluster 2,12,87.34
gnjhabff-1,Cluster 5,26,86.93
gnjhfebm-1,Cluster 5,73,212.09
gnjgoehh-1,Cluster 6,19,100.05
gnjknndf-1,Cluster 15,29,93.15
gnkfmjal-1,Cluster 11,26,154.30
gnjjplek-1,Cluster 7,27,123.40
glpmjdpm-1,Cluster 15,52,140.20
gnkffelo-1,Cluster 7,20,112.54
gnkeglgd-1,Cluster 2,20,114.65
gnigogek-1,Cluster 15,25,68.03
gnigmnjo-1,Cluster 16,33,119.69
gnidcgko-1,Cluster 16,18,45.84
gnkeogdj-1,Cluster 7,9,76.72
gnjfmoco-1,Cluster 14,18,184.13
gnjfjobg-1,Cluster 9,15,160.01
gnjgefja-1,Cluster 2,14,114.48
gnjfigmh-1,Cluster 16,37,130.75
gnfmjnch-1,Cluster 7,21,68.64
gmbljnih-1,Cluster 18,13,75.32
gmclbcie-1,Cluster 1,16,156.52
gmclmbjh-1,Cluster 1,21,233.52
gmcaljec-1,Cluster 4,6,81.26
gmcmbneg-1,Cluster 1,46,200.16
gmcagncp-1,Cluster 4,6,17.29
gmbpdpbd-1,Cluster 20,7,34.81
gmbpjdmh-1,Cluster 18,23,103.26
gmcagihn-1,Cluster 6,27,67.55
gmcmfilc-1,Cluster 1,37,186.37
gmbofcam-1,Cluster 11,10,112.06
gmcmjole-1,Cluster 18,35,157.15
gmcpccmj-1,Cluster 1,12,41.54
gmcpaehf-1,Cluster 1,31,110.51
gmblmmge-1,Cluster 18,9,43.34
gmbljcoc-1,Cluster 1,43,198.12
gmbmgped-1,Cluster 1,36,179.37
gmcomjii-1,Cluster 18,25,127.67
gmcomgmc-1,Cluster 1,11,60.32
gmclhkec-1,Cluster 1,27,237.97
gmcmkeem-1,Cluster 1,33,150.60
gmaflbne-1,Cluster 1,7,25.05
gmahdhlc-1,Cluster 1,41,227.78
gmamgbod-1,Cluster 1,57,276.55
gmajfljb-1,Cluster 1,12,42.87
gmamaadm-1,Cluster 1,39,192.06
gmamlccn-1,Cluster 19,6,45.62
gmbakaek-1,Cluster 23,25,136.89
gmcjjggb-1,Cluster 1,22,156.34
gmaopogg-1,Cluster 1,12,49.73
gmbbalcm-1,Cluster 1,19,147.96
gmdjpilf-1,Cluster 18,40,216.55
gmdljhnj-1,Cluster 1,9,91.44
gmdlmgmh-1,Cluster 1,17,103.05
gmafjhjh-1,Cluster 1,14,64.20
gmallajf-1,Cluster 1,38,209.30
gmafoecg-1,Cluster 1,51,238.20
gmapadgb-1,Cluster 1,2,29.62
gmdjpggd-1,Cluster 19,10,83.15
gmapggco-1,Cluster 1,20,162.25
gmdnbejc-1,Cluster 3,26,80.07
gmbobhll-1,Cluster 18,27,105.50
gmclcddp-1,Cluster 1,21,121.21
gmbkjljn-1,Cluster 18,19,103.61
gmcpcnkk-1,Cluster 1,26,157.14
gmbnmiif-1,Cluster 1,25,216.37
gmbkodpp-1,Cluster 1,42,219.48
gmcpokfg-1,Cluster 1,18,152.33
gmbnkjko-1,Cluster 1,4,65.95
gmcjinah-1,Cluster 1,25,153.25
gmdabpbb-1,Cluster 1,12,95.63
gmbnmkfm-1,Cluster 23,25,105.77
gmhodlme-1,Cluster 1,65,223.23
gmckndmn-1,Cluster 13,45,234.88
gmiabaki-1,Cluster 13,45,162.38
gmbnopld-1,Cluster 1,37,260.34
gmcojkde-1,Cluster 13,33,148.95
gmcnimlb-1,Cluster 13,16,107.85
gmcobpip-1,Cluster 1,12,208.58
gmcoanjk-1,Cluster 18,17,103.49
gmdiehjp-1,Cluster 13,24,194.97
gmdfnkig-1,Cluster 13,70,217.00
gmdgcnab-1,Cluster 1,26,78.89
gnfmhgam-1,Cluster 7,62,266.76
gmdgfmkl-1,Cluster 13,18,37.49
gmdfjagj-1,Cluster 13,88,333.38
gmdjckhd-1,Cluster 13,97,345.82
gnfmdhfn-1,Cluster 14,15,72.96
gmdlfmnf-1,Cluster 13,68,368.87
gnfonopb-1,Cluster 14,19,60.55
gmdnblag-1,Cluster 13,52,287.81
gmdilfii-1,Cluster 1,33,160.07
gnfpdefe-1,Cluster 7,29,118.62
gmdhhjik-1,Cluster 1,61,188.64
gnfpjobj-1,Cluster 14,20,120.60
gmdejgje-1,Cluster 15,42,185.09
gmdfiiio-1,Cluster 6,44,179.44
gmdhclif-1,Cluster 7,15,41.47
gngdfinp-1,Cluster 5,6,16.51
gnhppjei-1,Cluster 16,70,174.46
gnjdginf-1,Cluster 16,61,149.43
gnjcpbhn-1,Cluster 7,62,216.80
gnjcpmcj-1,Cluster 16,31,135.25
gnjapedn-1,Cluster 15,15,60.03
gnjangbi-1,Cluster 16,10,46.42
gnipoelg-1,Cluster 15,33,108.74
gnidnope-1,Cluster 7,18,116.77
gnidaede-1,Cluster 16,26,86.59
gnjalphc-1,Cluster 7,48,246.91
gnjamkga-1,Cluster 16,30,66.94
gnflmjnf-1,Cluster 9,32,121.70
gnhokbok-1,Cluster 11,18,117.29
gngblcma-1,Cluster 5,16,67.86
gnipggkl-1,Cluster 15,26,151.10
gniphmpp-1,Cluster 11,22,136.89
gniplghb-1,Cluster 7,28,96.95
gnfnpnla-1,Cluster 9,39,132.05
gnhobnde-1,Cluster 16,40,114.64
gnjddpbg-1,Cluster 16,40,121.28
gniaiejd-1,Cluster 14,18,117.86
gniiompb-1,Cluster 14,19,92.82
gnjccjjl-1,Cluster 14,14,106.15
gnhpnjpb-1,Cluster 16,38,70.00
gnijicpo-1,Cluster 5,16,77.17
gnjbpbhg-1,Cluster 21,18,120.08
gniaidmp-1,Cluster 15,49,136.73
gnhpnkpn-1,Cluster 16,98,202.47
gnjdhdbo-1,Cluster 14,7,139.40
gniafghi-1,Cluster 14,29,142.85
gniajmpd-1,Cluster 4,3,62.15
gnicemcc-1,Cluster 14,8,78.57
gniogmdd-1,Cluster 21,3,74.05
gnimiiok-1,Cluster 9,7,79.77
gniabbaf-1,Cluster 21,3,79.32
gnipegnh-1,Cluster 14,10,110.75
gninhdfm-1,Cluster 21,5,86.81
gnjbkopi-1,Cluster 14,26,129.58
gnhplopo-1,Cluster 9,3,44.62
gnfkpjan-1,Cluster 9,25,100.52
gnfopebk-1,Cluster 14,13,135.57
gngcdmmb-1,Cluster 15,18,125.72
gnfnlabe-1,Cluster 16,31,109.50
gngahehj-1,Cluster 7,13,124.82
gngaakgf-1,Cluster 16,33,135.46
gngbhiae-1,Cluster 16,38,140.78
gnfnnaaf-1,Cluster 5,28,168.97
gngcanel-1,Cluster 6,49,161.91
gngccbkm-1,Cluster 11,12,73.88
gngagphn-1,Cluster 7,49,214.54
gnfikdia-1,Cluster 9,13,107.66
gnficlkk-1,Cluster 14,24,173.14
gnfolchk-1,Cluster 14,19,135.55
gnfhopfi-1,Cluster 11,12,145.44
gnfimooh-1,Cluster 14,35,97.72
gngaeahp-1,Cluster 7,29,212.44
gnfljgja-1,Cluster 7,43,174.25
gnfkpbna-1,Cluster 17,18,133.40
gngkgimh-1,Cluster 7,18,54.83
gngjhbpl-1,Cluster 3,9,91.11
gngeeldm-1,Cluster 11,22,195.08
gniaifdl-1,Cluster 21,7,138.27
gnfkhmpf-1,Cluster 11,17,184.13
gnfiipaj-1,Cluster 7,13,129.02
gngdkcmh-1,Cluster 5,18,130.57
gnhpkoob-1,Cluster 7,15,207.58
gngebmkg-1,Cluster 9,19,103.02
gngcpchd-1,Cluster 11,4,61.93
gnfkbnhm-1,Cluster 5,17,157.87
gnfhkkdk-1,Cluster 9,8,125.91
gnfhlffl-1,Cluster 13,36,150.09
gngjogdd-1,Cluster 1,34,140.66
gngjhkcn-1,Cluster 13,37,189.78
gnghoajo-1,Cluster 23,12,89.73
gnghonhh-1,Cluster 7,11,30.95
gngibckh-1,Cluster 23,6,35.85
gnikfjkh-1,Cluster 9,14,107.35
golfjfog-1,Cluster 9,15,182.56
gofjnljf-1,Cluster 3,14,101.73
gnapncmc-1,Cluster 18,6,44.55
gnkaokbn-1,Cluster 2,14,82.87
gnbcefpi-1,Cluster 2,17,108.80
gnkdhnnn-1,Cluster 3,63,226.14
gnbonnbm-1,Cluster 2,14,95.39
gnkaomhe-1,Cluster 2,29,100.91
gnbcknmc-1,Cluster 17,10,134.88
gnbapinm-1,Cluster 5,3,62.08
gnkddngc-1,Cluster 14,34,236.88
gnbplicc-1,Cluster 3,29,174.27
gnbpedff-1,Cluster 3,15,121.54
gnkdmjfg-1,Cluster 7,59,195.06
gnkceeef-1,Cluster 18,25,108.99
gnbdnmam-1,Cluster 7,24,141.36
gnkckmal-1,Cluster 3,29,119.45
gnkcecbm-1,Cluster 3,17,53.55
gnbdeaei-1,Cluster 17,5,113.61
gnkbpgop-1,Cluster 11,9,39.75
gnbcpaoh-1,Cluster 11,9,55.41
gnkbikkd-1,Cluster 2,12,36.15
gnbmpgai-1,Cluster 17,3,18.55
gnbbofmf-1,Cluster 2,6,50.42
golkjckf-1,Cluster 3,47,159.71
gnbkhcmn-1,Cluster 3,27,116.85
gnbondee-1,Cluster 18,30,100.94
gnbbgiib-1,Cluster 5,13,65.96
gnbjjaoj-1,Cluster 19,13,124.60
gnbocafo-1,Cluster 17,12,82.16
gnbaipjf-1,Cluster 2,5,33.43
gnboejhm-1,Cluster 19,9,71.61
gnkolphm-1,Cluster 2,15,74.12
gnakpfdf-1,Cluster 11,17,93.29
gnaklehg-1,Cluster 9,8,109.30
gnkphobe-1,Cluster 6,20,154.14
gnknhlao-1,Cluster 15,27,180.36
gnkooago-1,Cluster 3,25,117.70
gnbaflni-1,Cluster 17,19,104.17
gnbkhkfd-1,Cluster 3,35,150.92
gnbjhjfm-1,Cluster 3,23,74.17
gnlgnfej-1,Cluster 7,38,226.18
gnlemlad-1,Cluster 17,8,119.90
gnjopjfl-1,Cluster 5,28,149.97
gnlbfhmk-1,Cluster 11,23,122.76
gnlcpcic-1,Cluster 7,16,102.00
gnjpacgn-1,Cluster 2,21,145.68
gnldhhej-1,Cluster 11,17,134.40
gnkbnnbf-1,Cluster 23,10,55.23
gnldapkp-1,Cluster 9,14,98.76
gnkdbapj-1,Cluster 7,25,93.06
gnakhpob-1,Cluster 11,7,58.05
gnlcipoa-1,Cluster 2,14,139.00
gnlhlohn-1,Cluster 7,14,72.03
gnlbocjp-1,Cluster 14,19,159.69
gnleigao-1,Cluster 15,13,135.52
gnikdofe-1,Cluster 7,47,242.25
gnkabiap-1,Cluster 5,13,101.35
gnlfapom-1,Cluster 21,6,101.04
gnlbkdao-1,Cluster 14,18,107.71
gnlennlb-1,Cluster 14,16,174.52
gnkhchcf-1,Cluster 3,51,219.14
gnkngfok-1,Cluster 9,19,118.11
gnknboda-1,Cluster 3,5,41.32
gnlahibp-1,Cluster 3,17,71.99
gofjmeni-1,Cluster 2,12,50.34
gnlajodd-1,Cluster 3,29,129.79
gnkpipmm-1,Cluster 13,48,194.91
gnkmjpkc-1,Cluster 13,17,70.00
gofmpcda-1,Cluster 7,46,280.36
gnlacbjb-1,Cluster 1,16,95.00
gnkindho-1,Cluster 9,13,125.14
golgbjjd-1,Cluster 22,12,31.08
gnkjhagg-1,Cluster 9,11,88.86
gofmakke-1,Cluster 22,5,42.21
gofnjbfi-1,Cluster 7,24,134.94
gnkjbgpb-1,Cluster 9,11,96.11
gofnakon-1,Cluster 2,5,100.10
gofkomnj-1,Cluster 7,15,100.58
golfebek-1,Cluster 7,19,111.36
golbgkfb-1,Cluster 7,14,128.41
gokjahee-1,Cluster 21,16,128.46
golbdngn-1,Cluster 21,0,63.72
golmgoag-1,Cluster 2,2,30.57
goklamdm-1,Cluster 14,7,105.97
golapgjp-1,Cluster 21,5,88.14
golnalbn-1,Cluster 9,11,112.14
gokkkbhh-1,Cluster 14,27,270.91
gollhkmj-1,Cluster 2,5,98.05
gollbiga-1,Cluster 1,59,321.91
golmgcdo-1,Cluster 2,4,112.87
goldpacd-1,Cluster 14,13,83.04
golbgjpl-1,Cluster 5,16,101.70
gomdcfki-1,Cluster 2,16,155.29
gomdjibp-1,Cluster 2,10,49.75
gomdanmf-1,Cluster 2,6,89.02
gollgmlm-1,Cluster 15,25,255.92
golfahfd-1,Cluster 7,13,92.59
golepjee-1,Cluster 7,25,136.98
golcppmf-1,Cluster 14,12,65.64
golblklj-1,Cluster 14,9,98.38
gokhkcfa-1,Cluster 2,10,136.51
gokplfjf-1,Cluster 21,2,38.63
dphmppca-1,Cluster 15,14,160.58
gokeokfh-1,Cluster 17,4,68.53
gokegpcp-1,Cluster 17,3,74.48
gokenahe-1,Cluster 14,7,75.82
dphnpkdj-1,Cluster 7,19,146.62
golajoph-1,Cluster 21,9,104.12
gokfldph-1,Cluster 5,9,114.39
gokhkkdo-1,Cluster 11,3,43.58
gpcapock-1,Cluster 17,14,149.21
golbgkei-1,Cluster 2,4,104.72
gokcphec-1,Cluster 5,6,112.51
gokipiop-1,Cluster 2,3,64.37
gokifeek-1,Cluster 2,2,78.31
gokepkhf-1,Cluster 7,16,142.68
gokhpgag-1,Cluster 17,6,162.13
gongmaoi-1,Cluster 5,1,13.47
gonidhpo-1,Cluster 15,17,101.26
gomdkecd-1,Cluster 5,9,90.51
gomdlipb-1,Cluster 2,4,91.14
gomcohcd-1,Cluster 5,22,110.66
gonhmpne-1,Cluster 15,6,119.39
goldkgaf-1,Cluster 2,8,107.65
gomdlaba-1,Cluster 2,13,120.31
gonihjko-1,Cluster 7,16,90.55
gomfbmck-1,Cluster 2,10,60.54
gomeoalp-1,Cluster 2,7,113.50
golfmega-1,Cluster 22,12,121.37
gonhapak-1,Cluster 2,20,109.15
gongfedh-1,Cluster 16,96,209.99
gomcbbdh-1,Cluster 16,34,110.00
gomcpndm-1,Cluster 7,26,84.98
gongjkhe-1,Cluster 9,7,60.03
golflknk-1,Cluster 2,12,114.62
gonilabp-1,Cluster 15,15,73.14
gomcbihb-1,Cluster 6,19,82.88
gonbblch-1,Cluster 4,15,103.18
gonibpfc-1,Cluster 4,9,72.09
gonamjfh-1,Cluster 2,6,62.05
gokdoigb-1,Cluster 2,11,68.90
gokcjbll-1,Cluster 2,10,59.92
gokecfkb-1,Cluster 2,8,58.45
gokcpdbf-1,Cluster 10,14,134.89
gpcbnpbg-1,Cluster 9,6,88.08
gonhfjke-1,Cluster 2,8,62.09
golbfcfi-1,Cluster 2,6,96.11
gomnkofn-1,Cluster 16,61,158.34
gomolgdj-1,Cluster 7,15,99.53
gonegjbe-1,Cluster 5,5,46.87
gonelape-1,Cluster 7,6,28.19
gomnocfi-1,Cluster 14,10,88.09
gompjmdi-1,Cluster 4,13,80.72
gonbkhkp-1,Cluster 9,9,65.62
gonhdddm-1,Cluster 2,6,65.09
gogblnmo-1,Cluster 7,26,118.58
gnggnmin-1,Cluster 11,11,136.59
gnlonpeh-1,Cluster 5,18,108.35
gniifgid-1,Cluster 2,33,170.95
gnihanff-1,Cluster 2,7,97.48
gnlnglpb-1,Cluster 5,20,117.85
gnimgeap-1,Cluster 7,8,67.98
gnikobak-1,Cluster 2,4,59.42
gnlngojo-1,Cluster 2,13,87.04
gnlaknbe-1,Cluster 5,7,48.59
gnijmakb-1,Cluster 5,17,72.24
gnlhpapo-1,Cluster 7,11,129.08
gnikahen-1,Cluster 7,39,231.78
gnloekio-1,Cluster 2,9,100.23
gnlkjdkh-1,Cluster 3,6,81.84
gnigojhk-1,Cluster 5,11,106.71
gnlmbecc-1,Cluster 9,8,116.95
gnlkcmim-1,Cluster 18,19,86.40
gnihkolf-1,Cluster 2,15,95.69
gniifajj-1,Cluster 14,3,70.11
gngcnbal-1,Cluster 2,17,162.47
gnghgigi-1,Cluster 5,23,183.99
gnkibeed-1,Cluster 17,10,81.47
gofpdkdn-1,Cluster 7,10,36.58
gnkgoodk-1,Cluster 17,5,57.42
gnkjobce-1,Cluster 2,6,82.87
gnkhpohd-1,Cluster 5,15,77.99
gofpbcnb-1,Cluster 7,14,70.88
gnkjhmdh-1,Cluster 17,8,91.82
gnlhmfjj-1,Cluster 17,3,81.63
